university,database_name,guide_url,real_url
BU,AATA Online Abstracts Of International Conservation Literature,https://library.bu.edu/aata,https://aata.getty.edu/
BU,Abstracts in Social Gerontology,https://library.bu.edu/socgenabstracts,https://www.ebsco.com/products/research-databases/abstracts-social-gerontology
BU,Academic Search Premier,https://library.bu.edu/asp,https://www.ebsco.com/products/research-databases/academic-search-premier
BU,Academic Video Online,https://library.bu.edu/avo,https://alexanderstreet.com/products/academic-video-online
BU,Access World News,https://library.bu.edu/AccessWorldNews,https://newsbank.com/products/access-world-news
BU,AccessAnesthesiology,https://library.bu.edu/Anesthesiology,https://accessanesthesiology.mhmedical.com
BU,AccessEmergency Medicine,https://library.bu.edu/emergency,https://accessmedicine.mhmedical.com/content.aspx?bookid=683&sectionid=45343709
BU,Accessible Archives,https://library.bu.edu/accessible,https://www.accessible-archives.com/
BU,AccessMedicine,https://library.bu.edu/accessmed,https://accessmedicine.mhmedical.com
BU,ACLS Humanities eBook,https://library.bu.edu/aclsebook,https://www.fulcrum.org/heb
BU,ACM Digital Library,https://library.bu.edu/acm,https://dl.acm.org
BU,ACS Guide to Scholarly Communication,https://library.bu.edu/ACSGuide,https://publishing.acsguide.org/
BU,Advanced Technologies &amp; Aerospace Database,https://library.bu.edu/aerospacedb,https://www.proquest.com/advanced-technologies-aerospace
BU,Africa-Wide Information,https://library.bu.edu/africawide,https://www.ebsco.com/products/research-databases/africa-wide-information
BU,African American Historical Serials Collection,https://library.bu.edu/afamhistserials,https://www.ebscohost.com/archives/american-antiquarian-society-historical-periodicals/african-american-historical-serials
BU,African Journals Online,https://library.bu.edu/ajol,https://www.ajol.info
BU,African Newspapers from the World Newspaper Archive,https://library.bu.edu/africannewspapers,https://about.proquest.com/en/products-services/world_newspaper_archive/
BU,Aftermarket Research (AMR),https://library.bu.edu/AMR,NOT_FOUND
BU,AGRICOLA,https://library.bu.edu/agricola,https://agricola.nal.usda.gov
BU,Air University Library Index to Military Periodicals,https://library.bu.edu/airuniversity,https://www.airuniversity.af.edu/AUPress/AULIMP/
BU,Airiti Library,https://library.bu.edu/airitilib,https://www.airitilibrary.com
BU,Alternative Press Index,https://library.bu.edu/altpress,https://www.ebsco.com/products/research-databases/alternative-press-index
BU,AM Explorer,https://library.bu.edu/amexplorer,https://www.amdigital.co.uk/primary-sources/am-explorer
BU,America: History &amp; Life,https://library.bu.edu/ahl,https://www.ebsco.com/products/research-databases/america-history-and-life
BU,America's Historical Newspapers,https://library.bu.edu/ahn,https://infoweb.newsbank.com/apps/readex/welcome?p=EANX
BU,American Antiquarian Society Historical Periodicals,https://library.bu.edu/aashp,https://www.ebsco.com/products/research-databases/american-antiquarian-society-historical-periodicals-collection
BU,"American Bibliography of Slavic, East European, and Eurasian Studies",https://library.bu.edu/slavicbib,https://ebsco.libguides.com/absees
BU,American Enterprise Institute,https://library.bu.edu/aei,https://www.aei.org
BU,American Indians and the American West (1809 - 1971),https://library.bu.edu/americanindians,https://proquest.libguides.com/historyvault/aianaw
BU,American Jewish Newspapers,https://library.bu.edu/jewishnews,https://www.proquest.com/historicalnewspapers/jewish-american-newspapers
BU,American Law Institute Library,https://library.bu.edu/ali,https://www.ali.org/library/
BU,American National Biography Online,https://library.bu.edu/anbo,https://www.anb.org
BU,American National Election Studies,https://library.bu.edu/anes,https://electionstudies.org
BU,American Periodicals,https://library.bu.edu/americanperiodicals,https://proquest.com/americanperiodicals
BU,American Politics and Society,https://library.bu.edu/AmericanPoliticsSociety,NOT_FOUND
BU,Anchor Yale Bible Commentaries,https://library.bu.edu/biblecomm,https://yalebooks.yale.edu/series/the-anchor-yale-bible-commentaries
BU,Anchor Yale Bible Dictionary,https://library.bu.edu/bibledict,NOT_FOUND
BU,"Animal Studies: Law, Welfare and Rights",https://library.bu.edu/animalstudies,https://search.alexanderstreet.com/anst
BU,Annual Bibliography of English Language and Literature,https://library.bu.edu/abell,https://about.proquest.com/en/products-services/abell-set-c/
BU,Annual Reviews,https://library.bu.edu/annualreviews,https://www.annualreviews.org
BU,Anthropological Fieldwork Online,https://library.bu.edu/antf,https://www.alexanderstreet.com/products/anthropological-fieldwork-online
BU,Anthropology Online,https://library.bu.edu/anto,https://search.alexanderstreet.com/anth
BU,Anthropology Plus,https://library.bu.edu/anthroplus,"https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ant"
BU,AnthroSource,https://library.bu.edu/anthrosource,https://anthrosource.onlinelibrary.wiley.com
BU,APA PsycArticles,https://library.bu.edu/psycarticles,https://www.apa.org/pubs/databases/psycarticles
BU,APA PsycBooks,https://library.bu.edu/psycbooks,https://www.apa.org/pubs/databases/psycbooks
BU,APA PsycInfo,https://library.bu.edu/psycinfo,https://www.apa.org/pubs/databases/psycinfo
BU,APA PsycTests,https://library.bu.edu/psyctests,https://www.apa.org/pubs/databases/psyctests
BU,Applied Science &amp; Business Periodicals Retrospective,https://library.bu.edu/abspr,https://www.ebsco.com/products/research-databases/applied-science-business-periodicals-retrospective
BU,Applied Social Sciences Index and Abstracts,https://library.bu.edu/assia,https://proquest.libguides.com/assia
BU,Aquatic Sciences and Fisheries Abstracts,https://library.bu.edu/asf,https://www.proquest.com/asfa
BU,Arcade: New York Art Resources Consortium,https://library.bu.edu/arcade,https://arcade.nyarc.org/
BU,ArchiveGrid,https://library.bu.edu/archivegrid,https://researchworks.oclc.org/archivegrid/
BU,Archives of Sexuality &amp; Gender,https://library.bu.edu/asg,https://gdc.gale.com/gdc/artemis?p=AHSI
BU,Archives Unbound,https://library.bu.edu/archunbound,https://www.gale.com/primary-sources/archives-unbound
BU,ArchNet,https://library.bu.edu/archnet,https://archnet.org
BU,Art &amp; Architecture Thesaurus Online,https://library.bu.edu/aat,https://www.getty.edu/research/tools/vocabularies/aat/
BU,Art Full Text,https://library.bu.edu/artfulltext,https://www.ebsco.com/products/research-databases/art-full-text
BU,ARTbibliographies Modern,https://library.bu.edu/abm,https://www.proquest.com/products-services/artbm-set-c.html
BU,ARTFL Project,https://library.bu.edu/artfl,https://artfl-project.uchicago.edu/
BU,Arts &amp; Humanities Citation Index,https://library.bu.edu/ahci,https://clarivate.com/products/scientific-and-academic-research/research-discovery-and-workflow-solutions/web-of-science/web-of-science-core-collection/arts-and-humanities-citation-index/
BU,ARTstor,https://library.bu.edu/artstor,https://www.artstor.org/
BU,arXiv.org,https://library.bu.edu/arxiv,https://arxiv.org
BU,Asian American Drama,https://library.bu.edu/aad,https://alexanderstreet.com/products/asian-american-drama
